P49768,Q6EMK4
P49768,Q6UX71
P49768,Q8NFT8
P49768,P16066
P49768,Q14118
P49768,Q14126
P49768,P62491
P21333,P14416
P21333,P35462
P21333,P41180
P21333,P10275
P21333,Q8N264
P21333,P26010
P21333,P49450
P21333,O15164
P21333,O15160
P21333,Q13153
P21333,O95477
P12004,Q8IWY9
P12004,Q96C41
P12004,O75714
P12004,P39748
P12004,P24522
P12004,O95257
P12004,Q9UK52
P12004,P22674
P12004,P35249
P12004,P62988
P12004,Q14527
P12004,Q15054
P12004,O94762
P12004,Q9Y468
P12004,P57081
P45983,O00213
P45983,P16104
P45983,Q8N122
P45983,Q00613
Q07955,P38919
P41182,Q9Y618
P41182,Q15916
P41182,O75376
P41182,Q86XK2
P41182,P62988
P41182,Q13616
P41182,P63208
Q9Y618,Q15916
Q9Y618,Q05516
Q9Y618,O15379
Q9Y618,O00482
Q9Y618,Q13227
Q9Y618,O60907
Q9Y618,Q96T58
Q9Y618,P55040
Q15916,O75376
Q05516,O75376
P01375,P20333
P01375,P36941
P01375,P01374
P01375,Q12933
P01375,O75530
P01375,Q9NY59
P01375,P63244
P01375,Q9H0F6
P01375,Q96EP0
P01375,Q9BYM8
P20333,P01374
P20333,Q9BQ06
P20333,Q12933
P01374,P36941
P01374,Q06643
P36941,Q13114
P28908,P32971
Q30201,P02786
Q30201,P61769
Q30201,P62988
P02786,P02787
P02786,P02794
P02786,P61769
P02786,Q9UID3
P02787,Q9BTM9
P05112,P24394
P24394,P35225
P43489,P23510
P29965,P25942
P25942,Q12933
P25942,Q13114
P16871,P13232
P35225,P78552
P35225,Q14627
Q07011,P41273
Q01113,P15248
P22301,Q13651
P22301,Q08334
Q99933,P10275
P25025,P10145
P25025,P09341
P25025,P19875
P25025,P19876
P25025,P42830
P25025,P02775
P10145,Q16570
P10145,P25024
P20809,Q14626
Q16570,P09341
P25024,P09341
P25024,P42830
P25024,P02775
P21802,P05230
P21802,P21781
P21802,P11487
P21802,P09038
P21802,O15520
P21802,P10767
P21802,P31371
P21802,P50281
P21802,P22607
P05230,P22607
P05230,Q8NI16
P05230,P11362
P05230,P22455
P29459,P29460
P29459,Q99665
P29459,P42701
P29459,Q14213
P21781,P22607
P22607,P09038
P22607,P08620
P22607,P12034
P22607,P55075
P09038,P11362
P09038,P22455
P12034,P11362
P11362,Q9GZV9
P11362,O95750
P11362,P55075
P22455,O95750
P22455,P50281
P08138,P01138
P08138,P04629
P01138,P04629
P01138,Q99523
P01127,P16234
P04629,Q13501
P04629,O75385
P23560,Q16620
P23560,P20783
P23560,Q99523
Q16620,P78352
P20783,Q16288
Q16288,P28223
P40238,P40225
P01588,P19235
P04085,P16234
P04085,P02751
P16234,Q9NRA1
P49767,P35916
P49767,P35968
P15692,P17948
P15692,O14786
P15692,O60462
P15692,P49763
P15692,P07996
P15692,P35968
P17948,P49763
O14786,Q14563
O14786,P08648
O14786,O75051
P26992,P26441
P26441,P42702
P42702,P15018
P42702,P13725
O15467,P32302
O15467,P32246
O15467,P41597
O15467,P51685
P32302,P10147
P32302,P13501
P32302,P13236
P32302,O43927
O00626,P51679
P51679,Q92583
P51679,P48061
Q99062,P09919
P36894,P12643
P36894,Q13873
P12643,Q13873
P12643,Q6ZVN8
P12643,Q6NW40
P12643,Q96B86
Q13873,P18075
Q13873,P12644
P32246,P22362
P32246,P10147
P32246,P13236
P32246,P13501
P32246,P80098
P32246,Q16627
P32246,P80075
P32246,P13500
P32246,Q16663
P41597,P13500
P41597,P80098
P41597,P80075
P41597,Q99616
P22362,P51685
P51685,Q92583
P32248,Q99731
P32248,O00585
Q99616,P51677
Q99616,P51681
Q99616,P49682
Q99616,Q9NPB9
P51677,P80098
P51677,P10147
P51677,P13236
P51677,P13501
P51677,P51671
P51677,O00175
P51677,Q9Y258
P51677,Q07325
P51677,O14625
P51677,P02778
P51677,Q16663
P80098,P51681
P80098,P49682
P80098,Q9NPB9
P51686,O15444
P49682,O14625
P49682,Q07325
P49682,P02778
P49682,P51671
P49682,P13501
P13500,P51681
P13500,Q9NPB9
P10147,P51681
P13236,P51681
P13501,P51681
P51671,P51681
P51684,P78556
P51681,P80075
P51681,P61073
P80075,Q9NPB9
P46092,Q9Y4X3
P46092,P48061
P49238,P78423
O43294,P10275
P10275,P62826
P10275,P82094
P10275,Q13772
P10275,Q03135
P10275,P50613
P10275,Q15596
P10275,Q92993
P10275,P49116
P10275,P38398
P10275,P51946
P10275,Q05086
P10275,Q9Y265
P10275,P06396
P10275,P11308
P10275,P05771
P10275,O60341
P10275,Q02790
P10275,P08238
P10275,P55317
P10275,Q9UBL3
P10275,Q03164
P10275,O15550
P10275,Q8IXJ9
P10275,O14686
P10275,Q01534
P10275,Q07912
P10275,O60885
P10275,P25440
P10275,Q15059
Q03167,P61812
Q03167,P01137
Q03167,P37173
P61812,P36897
P06401,Q13105
P06401,Q9Y6X2
P06401,O75925
P06401,Q05086
Q13105,P03372
Q13105,Q92731
Q13105,Q99684
P37173,P10600
P37173,P37023
P37173,P01137
P37173,P36897
P37173,P02750
P10600,P36897
P10600,P37023
P01912,P01903
P01903,P04229
P61769,P30491
P61769,O19691
P61769,P18464
P61769,P55899
P61769,P03989
P61769,Q95460
P61769,P15813
P62826,P61970
P62826,O60356
P36897,P01137
P36897,P02750
P36897,P17813
P01137,P37023
P01137,Q14392
P01137,Q14766
P37023,P17813
P37023,P02750
P21246,Q9UM73
Q03135,P35354
Q03135,P51636
Q03135,P29474
Q03135,Q8NFW9
Q03135,P48995
Q03135,Q13586
Q03135,O00194
Q03135,P52735
Q03135,Q8N5H7
Q03135,Q13322
Q03135,Q9GZQ8
Q03135,Q6NZI2
Q03135,O95810
Q03135,Q969G5
Q03135,P60709
P03372,Q9Y6X2
P03372,O75925
P03372,Q15596
P03372,Q05086
P03372,Q6PL18
P03372,P29474
P03372,Q92993
P03372,O15164
P03372,Q92731
P03372,P62988
P03372,P10589
P03372,Q96AQ6
Q9Y6X2,Q92731
Q92731,O75925
P38398,Q99728
P38398,P18846
P38398,P17275
P38398,O14867
P38398,Q92547
P38398,Q13363
P38398,O60619
P38398,O00158
P38398,P01106
P38398,Q6UWZ7
P38398,Q96RL1
P38398,Q9BX63
P38398,P51587
P38398,Q53YX5
P38398,Q86YC2
P38398,O75330
P38398,P63165
P38398,P61956
P38398,O14965
P38398,Q9ULW0
P38398,P17535
P38398,P11388
P38398,P62988
P38398,Q9NVH0
Q12888,P62805
Q12888,P53350
Q12888,P63165
Q12888,Q14686
Q14192,Q13683
Q14192,P26006
Q14192,P51610
Q14192,Q06546
Q14192,Q06547
Q13185,P23497
Q13185,Q14739
Q13185,O15164
Q13185,P41229
Q13185,Q5FBB7
P23497,P45973
P23497,P83916
P45973,Q14739
P45973,O43463
P45973,Q9UBD5
P45973,Q13415
P45973,O15164
P45973,Q5FBB7
P45973,Q14191
Q14739,P83916
P50613,P24928
P50613,Q6IAW3
P50613,Q9BWU1
P50613,O00267
P50613,P21127-12
Q15596,O00482
Q92993,Q9Y265
Q92993,P35637
Q92993,Q01844
Q92993,Q92804
Q92993,Q9BZS1
Q92993,P04198
Q92993,Q96GD4
P49116,Q13191
P01730,Q14005
Q08334,Q9GZX6
P08581,Q04756
P08581,P14210
P08581,P21860
Q04756,O43278
Q04756,P14210
P26927,Q04912
P26927,Q15831
P26927,Q14160
P26927,Q9P0L2
P10912,P01241
P01241,P13497
Q07960,P60953-1
Q07960,P60953
P63098,Q08209
Q08209,O95644
Q08209,Q13469
P55273,Q9NWT6
P41159,P48357
P48357,O15243
Q05086,P68036
Q05086,P62988
P68036,Q9Y4X5
P68036,P62988
P51946,Q92759
P35462,P53618
P35462,P48444
P35462,Q9Y678
