Accession(1),Accession(2)
P37231,Q14686
P37231,O43707
Q9NQS3,P15151
Q15223,P15151
P22681,P62837
P62988,P62837
P62837,Q99942
P62837,Q96PM5
P62837,O95155
P62837,Q13191
P62837,Q13489
P62837,Q96CA5
P62837,Q96EP0
P84022,Q96PU5
P49281,Q96PU5
Q96PU5,O15105
Q03167,P01137
P01137,P37023
P01137,Q14392
P01137,Q14766
P24588,P17252
P24588,P13861
P07910,Q12906
P35609,Q01668
Q15628,Q12933
P01375,Q12933
P20333,Q12933
P25942,Q12933
Q12933,Q13077
Q12933,Q92844
Q12933,Q15750
Q12933,Q9UHD2
Q12933,Q92956
Q12933,Q99683
Q12933,P62988
Q12933,Q9UKE5
Q12933,Q99558
P62988,Q13489
P51617,Q99836
Q99418,Q99836
Q99836,O43187
Q99836,P58753
Q99836,Q9NWZ3
O43187,Q9NWZ3
Q96FA3,Q9NWZ3
P29466,P01584
P01584,Q9NPH3
P01584,P09429
Q13114,Q9NPH3
Q9Y4K3,Q9NPH3
P01583,P27930
P62988,P51668
P62988,P21580
O14920,P21580
Q14790,P21580
P02748,P07357
Q15291,Q9UBL3
Q15291,Q14686
Q15291,Q6P1J9
Q15291,Q9UMN6
Q15291,Q9C005
Q15291,Q8NEZ4
P27986,P03372
Q09472,P03372
P12931,P03372
P10276,Q15596
P10275,Q15596
Q13105,P03372
P03372,Q9Y6X2
P03372,O75925
P03372,Q15596
P03372,Q05086
P03372,Q6PL18
P03372,P29474
P03372,Q92993
P03372,O15164
P03372,Q92731
P03372,P62988
P03372,P10589
P03372,Q96AQ6
Q15596,O00482
P23458,P14784
P14784,P01589
P14784,P60568
P14784,P40933
P01589,P60568
Q00839,P49450
P15924,P49450
P78527,P49450
P12956,P49450
O00571,P49450
Q9UER7,P62805
Q9Y230,P49450
Q9Y230,Q8NCD3
Q9Y294,P62805
P60842,P49450
Q92841,P49450
Q9Y265,P49450
Q9Y265,Q8NCD3
P49736,P62805
P49736,P49450
P49736,Q8NCD3
P13010,P49450
O14744,P62805
P62805,Q16576
P62805,O14929
P62805,P49450
P62805,Q99873
P62805,O15164
P62805,P84243
P62805,O60885
P62805,Q86UY6
P62805,Q71DI3
P62805,P07954
P62805,P57081
P06748,P49450
P06748,Q8NCD3
Q16576,P49450
Q16576,Q8NCD3
P49450,Q8NCD3
P49450,Q09028
P49450,P17844
P49450,Q8WWI1
P49450,Q8N6T7
Q8NCD3,Q09028
P62988,P61077
P62988,Q99496
Q96BH1,P61077
P61077,O95155
P61077,Q13490
Q99801,Q99496
O95931,P35226
O95931,Q99496
P35226,Q9HC52
P35226,Q99496
P35226,Q9HCE1
P35226,P78364
P35226,P0C0S8
Q9HC52,Q99496
Q99496,Q14781
Q99496,O00257
Q99496,O95503
Q99496,Q8N488
Q99496,Q8IY57
Q99496,Q9HCE1
Q99496,P0C0S8
Q99496,P62807
Q99496,P41229
Q99496,Q13127
Q99496,Q8WXX7
Q99496,Q86SE9
Q99496,O43439
Q99496,Q9GZV8
P23458,P17181
P29597,P17181
P17181,P48551
P17181,P01563
P17181,P32881
P17181,P01574
P48551,P01563
P48551,P01569
P48551,P01562
P48551,P32881
P48551,P01574
Q13617,Q96GG9
Q13620,Q96GG9
Q13618,Q96GG9
Q96GD4,Q15691
P30622,Q15691
P30622,Q14203
P30622,Q9UPY8
Q15691,Q14203
Q15691,O60356
Q14203,Q9UNH7
Q14203,O95219
Q14203,Q13748
O00255,Q00653
O00255,P17535
O00255,Q9UMN6
Q99708,O75475
Q9UMN6,O75475
P10275,O60885
Q15648,O60885
P50750,O60885
O60563,O60885
P49336,O60885
Q4G0J3,O60885
Q6P1J9,O60885
O60885,Q9BZ95
O60885,O96028
O60885,Q14839
O60885,Q6NYC1
O60885,A6H8Y1
P62988,Q96FW1
Q9Y4K3,P61088
Q14527,P61088
Q14527,Q15819
P61088,Q13404
P61088,Q96FW1
P61088,Q149N8
Q15819,Q149N8
Q96FW1,Q13404
Q86WJ1,P33778
P33778,P07954
P06899,P04908
P10275,P62826
P62826,P61970
P62826,O60356
Q99613,P47813
Q14152,P47813
P12277,Q96DX5
P29474,Q05193
Q05193,P15531
P22681,P46108
P22681,P05783
P22681,Q12965
P22681,P15498
P22681,P62993
P22681,P27986
P22681,P07948
P22681,P68036
P22681,P00533
P22681,P04062
P22681,P43403
P22681,Q9GZQ8
P20963,P43403
P62988,Q96CA5
Q9UFF9,Q9NZN8
P26651,A5YKK6
Q9NZN8,O75175
Q9NZN8,A5YKK6
Q9NZN8,Q9ULM6
Q9NZN8,Q9H9A5
Q9NZN8,Q92600
Q9NZN8,Q9UIV1
Q9NZN8,Q9HCJ0
O75175,Q9HCJ0
A5YKK6,Q96LI5
A5YKK6,Q9HCJ0
O95347,P0C0S5
Q86WJ1,P0C0S5
P0C0S5,P07954
P46937,P54619
Q9UBK2,P54646
O75385,Q9Y478
O75385,P54619
Q8NFG4,P54619
Q8TF40,P54619
P49768,P62491
Q7L804,P62491
P62491,O75154
P62491,Q96QF0
P62491,O60447
P62491,Q86YS3
P62491,P84085
P62491,Q9H6L5
P62491,Q9UBF8
P62491,P42858
O75154,P84085
O75154,P62330
O75154,Q9UBF8
O75154,Q96QF0
O75154,P18085
P54132,Q9H9A7
P54132,Q96E14
Q9H9A7,Q13472
Q9H9A7,Q96E14
Q13472,Q96E14
Q9BTP7,Q8IYD8
P62158,Q14524
Q12955,Q14524
Q14524,P61328
Q14524,Q92913
P14778,P51617
P14778,P09619
P15923,P09874
P09874,Q8IW19
P09874,Q9P2D1
P09874,Q86WJ1
P09874,Q96EP1
P09874,P46063
P09874,Q9HAN9
P09874,P28482
P09874,P27361
P09874,P54577
P27037,P37023
P37023,P17813
P37023,P02750
Q9BUL8,Q9P289
Q9P289,Q9UKE5
Q96EB6,Q9H1Y0
Q9H1Y0,Q7Z434
Q9H1Y0,O95786
Q9H1Y0,Q9BYX4
Q9H1Y0,Q676U5
Q9H1Y0,Q8TDY2
O95786,O94817
Q7Z434,O94817
O94817,Q9BYX4
O94817,Q9NT62
Q676U5,Q8TDY2
P24928,O14744
Q16637,O14744
O14744,P19387
O14744,Q9Y6K1
O14744,Q86UQ8
O14744,Q9BQA1
O14744,Q7Z333
P19387,Q9BQA1
Q9BQA1,Q9UMN6
Q9UER7,P84243
Q9Y294,P84243
Q9NVP2,P84243
O95931,P84243
Q9HC52,P84243
Q13111,P84243
Q14781,P84243
P84243,O00257
P84243,O95503
P84243,Q86WJ1
P84243,P07954
Q00987,Q9UER7
P25445,Q9UER7
O15519,Q9UER7
Q9UER7,Q9NS23
Q9UER7,Q71DI3
Q9BSQ5,O00522
O60566,Q10567
O43683,Q10567
P84077,Q99418
P84077,Q8N3Y1
P24928,P50750
O00267,P50750
P50750,O60563
P50750,O94992
P50750,Q4G0J3
P50750,P49336
P50750,P23193
P50750,Q9NR30
P50750,Q6P1J9
P50750,Q8N7H5
Q15545,O60563
O60563,O94992
O60563,P49336
O60563,P23193
O60563,Q6P1J9
O60563,Q8N7H5
O60563,Q6PD62
P61328,P35498
P55899,P02768
Q9ULT6,Q2MKA7
Q14457,P08670
P08670,Q96IZ0
P05556,P06756
P04085,P02751
P06756,P18564
P02751,P21980
P02751,P02452
P19438,P01374
P01375,P36941
P01375,P01374
P20333,P01374
P01374,P36941
P01374,Q06643
P36941,Q13114
P02766,P05067
P05067,P01023
P05067,P22303
P05067,P02649
P05067,P49768
P05067,O75509
P05067,P08138
P05067,A4D1B5
P32927,P04141
P32927,P05113
P32927,P08700
P32927,P42336
P04141,P15509
P04141,Q99062
Q07812,P49841
P09619,O75581
P49841,P31749
P49841,O15169
P49841,Q08752
P49841,P01106
P49841,Q5VWQ8
P49841,Q86YF9
P62988,O75581
P62988,O15169
O75581,O94907
O75581,Q9UBU2
O75581,Q9BQB4
O75581,P56704
O75581,Q9ULT6
O75581,P57078
O75581,O15169
P49407,O15169
O15169,O14641
O15169,Q5VWQ8
Q13555,P55055
P55055,Q92828
P55055,Q9H4L4
Q00653,O00571
P00533,Q96FE5
P62988,O76064
P07992,O76064
Q9Y230,O76064
P13010,O76064
Q14676,O76064
O96017,O76064
O76064,Q15652
O76064,O95714
O76064,Q9UMS4
O76064,P12270
O76064,Q92889
Q13114,Q7Z434
Q13114,O95786
P62988,O95786
P62988,Q7Z434
Q9Y4K3,Q7Z434
O95786,Q7Z434
O95786,Q86WV6
O95786,Q96C10
O95786,Q96EQ8
O95786,Q9ULZ3
Q7Z434,Q86WV6
Q7Z434,Q9BYX4
Q7Z434,Q07021
Q7Z434,Q86UT6
Q7Z434,Q96EQ8
Q7Z434,Q96P20
Q9UL25,Q9UJ41
Q9UJ41,Q15276
P20339,Q9P2R3
P46937,Q13131
P24844,Q13131
Q13131,O75385
Q86SE9,Q8WXX7
O95630,Q7LBR1
P53990,Q7LBR1
Q7LBR1,O75351
Q7LBR1,Q9UN37
Q9NZZ3,Q5VW32
Q9Y6K1,Q9UJW3
P62988,Q16186
Q9UHD9,Q16186
Q16186,P35228
Q16186,P54725
Q9Y5K5,P35228
Q9ULT6,O60353
Q9ULT6,Q9BXB1
P27635,P49768
P49768,Q9UQB3
P49768,Q6EMK4
P49768,Q6UX71
P49768,Q8NFT8
P49768,P16066
P49768,Q14118
P49768,Q14126
Q92542,Q8NFT8
Q92542,Q14126
Q92542,Q14118
Q92542,Q6EMK4
Q92542,P16066
Q92542,Q6UX71
Q8NFJ9,Q96QF0
Q96QF0,P61006
Q96QF0,P18085
P10644,P17612
P17612,Q9HC16
P17612,Q9GZX7
P17612,P31323
P27986,P06213
P27986,P08069
P06213,P35568
P06213,P29353
P06213,P18031
P06213,Q14449
P06213,Q13322
P06213,P32121
P06213,P62988
P06213,Q99418
P06213,O43739
P06213,P62330
P06213,P26045
P08069,P29353
P08069,Q14620
P08069,Q92569
P30304,P14635
Q16667,P06493
P06493,P24385
P06493,P24864
P06493,P14635
P06493,P24522
P06493,O95257
P06493,O75293
P06493,P50613
P06493,O95835
P06493,Q9UQR0
P06493,O75618
P14635,Q13635
P14635,O75618
Q86WJ1,Q9Y5B9
Q7L7L0,Q9Y5B9
P27986,P10828
Q9UKV8,P26196
P26196,Q9NPI6
P26196,Q9BTM9
Q9Y294,P49736
Q9NVP2,P49736
P25205,P49736
P49736,O75419
P49736,Q9BRX5
P49736,Q9Y468
P49736,Q14566
P49736,Q71DI3
P32302,O43927
Q8TAF3,P62068
Q8TAF3,O94782
O15105,Q6ZSG1
Q6ZSG1,P12757
